Observation_id,Behaviour,Modifier,Phase,Behaviour_duration_by_Phase
Anthony_FC_12102022_0942,Mov,Away from speaker,Habituation,2
Anthony_FC_12102022_0942,Mov,Towards speaker,Habituation,67
Anthony_FC_12102022_0942,Vig,Mid neck,Habituation,74
Anthony_FC_12102022_0942,Eat,With kin,Silence_1,23
Anthony_FC_12102022_0942,Mov,Away from speaker,Silence_1,20
Anthony_FC_12102022_0942,Mov,Towards speaker,Silence_1,20
Anthony_FC_12102022_0942,Pre,With kin,Silence_1,31
Anthony_FC_12102022_0942,Vig,Long neck,Silence_1,86
Anthony_FC_12102022_0942,Pre,With kin,Silence_3,5
Anthony_FC_12102022_0942,Vig,Mid neck,Silence_3,69
Anthony_FRF_21112022_0930,Dhb,NA,Dishabituation,246
Anthony_FRF_21112022_0930,Pre,With kin,Dishabituation,40
Anthony_FRF_21112022_0930,Rst,With kin,Dishabituation,74
Anthony_FRF_21112022_0930,Vig,Mid neck,Dishabituation,92
Anthony_FRF_21112022_0930,Vig,Short Neck,Dishabituation,10
Anthony_FRF_21112022_0930,Hab,NA,Habituation,273
Anthony_FRF_21112022_0930,Rst,With kin,Silence_1,18
Anthony_FRF_21112022_0930,Vig,Mid neck,Silence_1,23
Anthony_FRF_21112022_0930,Vig,Short Neck,Silence_1,5
Anthony_FRF_25102022_0953,Mov,Away from speaker,Dishabituation,3
Anthony_FRF_25102022_0953,Pre,With kin,Dishabituation,6
Anthony_FRF_25102022_0953,Rst,With kin,Dishabituation,21
Anthony_FRF_25102022_0953,Vig,Mid neck,Dishabituation,44
Anthony_FRF_25102022_0953,Hab,NA,Habituation,90
Anthony_FRF_25102022_0953,Pre,With kin,Habituation,49
Anthony_FRF_25102022_0953,Rst,With kin,Habituation,106
Anthony_FRF_25102022_0953,Vig,Short Neck,Habituation,138
Anthony_FRF_25102022_0953,Pre,With kin,Silence_1,69
Anthony_FRF_25102022_0953,Rst,With kin,Silence_2,13
Anthony_FRF_25102022_0953,Vig,Mid neck,Silence_2,7
Anthony_FRF_25102022_0953,Vig,Short Neck,Silence_2,12
Anthony_FRF_25102022_0953,Rst,With kin,Silence_3,63
Anthony_FRP_06112022_0945,Pre,With kin,Dishabituation,5
Anthony_FRP_06112022_0945,Vig,Mid neck,Dishabituation,67
Anthony_FRP_06112022_0945,Mov,Away from speaker,Silence_1,16
Anthony_PRF_27102022_1108,Eat,With kin,Dishabituation,20
Anthony_PRF_27102022_1108,Vig,Long neck,Dishabituation,4
Anthony_PRF_27102022_1108,Hab,NA,Habituation,247
Anthony_PRF_27102022_1108,Eat,With kin,Silence_2,22
Anthony_PRF_27102022_1108,Mov,Away from speaker,Silence_2,15
Anthony_PRF_27102022_1108,Vig,Mid neck,Silence_2,21
Ballantine_FC_07112022_0855,Dhb,NA,Dishabituation,246
Ballantine_FC_07112022_0855,Pre,With kin,Dishabituation,9
Ballantine_FC_07112022_0855,Vig,Long neck,Dishabituation,9
Ballantine_FC_07112022_0855,Vig,Mid neck,Dishabituation,29
Ballantine_FC_07112022_0855,Vig,Long neck,Habituation,10
Ballantine_FC_07112022_0855,Vig,Short Neck,Habituation,11
Ballantine_FC_09102022_0930,Dhb,NA,Dishabituation,192
Ballantine_FC_09102022_0930,Eat,With kin,Dishabituation,34
Ballantine_FC_09102022_0930,Mov,Away from speaker,Dishabituation,16
Ballantine_FC_09102022_0930,Rst,With kin,Dishabituation,3
Ballantine_FC_09102022_0930,Vig,Long neck,Dishabituation,21
Ballantine_FC_09102022_0930,Vig,Mid neck,Dishabituation,142
Ballantine_FC_09102022_0930,Vig,Short Neck,Dishabituation,16
Ballantine_FC_09102022_0930,Eat,With kin,Habituation,9
Ballantine_FC_09102022_0930,Hab,NA,Habituation,248
Ballantine_FC_09102022_0930,Rst,With kin,Habituation,33
Ballantine_FC_09102022_0930,Vig,Mid neck,Habituation,50
Ballantine_FRF_22112022_1026,Vig,Mid neck,Dishabituation,5
Ballantine_FRF_22112022_1026,Eat,With kin,Habituation,80
Ballantine_FRF_22112022_1026,Mov,Away from speaker,Habituation,6
Ballantine_FRF_22112022_1026,Mov,Towards speaker,Habituation,28
Ballantine_FRF_22112022_1026,Vig,Mid neck,Habituation,102
Ballantine_FRF_22112022_1026,Eat,With kin,Silence_1,67
Ballantine_FRF_22112022_1026,Mov,Away from speaker,Silence_1,9
Ballantine_FRF_22112022_1026,Vig,Mid neck,Silence_1,16
Ballantine_FRF_22112022_1026,Eat,With kin,Silence_3,65
Ballantine_FRF_22112022_1026,Mov,Towards speaker,Silence_3,9
Ballantine_FRF_22112022_1026,Vig,Mid neck,Silence_3,28
Ballantine_FRF_26102022_0947,Pre,With kin,Dishabituation,100
Ballantine_FRF_26102022_0947,Rst,With kin,Dishabituation,119
Ballantine_FRF_26102022_0947,Vig,Long neck,Dishabituation,4
Ballantine_FRF_26102022_0947,Vig,Mid neck,Dishabituation,17
Ballantine_FRF_26102022_0947,Vig,Short Neck,Dishabituation,4
Ballantine_FRF_26102022_0947,Pre,With kin,Habituation,33
Ballantine_FRF_26102022_0947,Rst,With kin,Habituation,118
Ballantine_FRF_26102022_0947,Vig,Mid neck,Habituation,27
Ballantine_FRF_26102022_0947,Vig,Short Neck,Habituation,34
Ballantine_FRF_26102022_0947,Pre,With kin,Silence_1,37
Ballantine_FRF_26102022_0947,Vig,Short Neck,Silence_1,8
Ballantine_FRF_26102022_0947,Rst,With kin,Silence_2,3
Ballantine_FRF_26102022_0947,Vig,Mid neck,Silence_2,21
Ballantine_FRF_26102022_0947,Pre,With kin,Silence_3,106
Ballantine_FRP_23102022_0910,Eat,With kin,Dishabituation,213
Ballantine_FRP_23102022_0910,Vig,Mid neck,Dishabituation,8
Ballantine_FRP_23102022_0910,Eat,With kin,Habituation,61
Ballantine_FRP_23102022_0910,Mov,Away from speaker,Habituation,89
Ballantine_FRP_23102022_0910,Pre,With kin,Habituation,26
Ballantine_FRP_23102022_0910,Vig,Mid neck,Habituation,115
Ballantine_FRP_23102022_0910,Vig,Short Neck,Habituation,45
Ballantine_FRP_23102022_0910,Eat,With kin,Silence_1,4
Ballantine_FRP_23102022_0910,Mov,Away from speaker,Silence_1,5
Ballantine_FRP_23102022_0910,Pre,With kin,Silence_1,78
Ballantine_FRP_23102022_0910,Vig,Mid neck,Silence_1,49
Ballantine_FRP_23102022_0910,Mov,Away from speaker,Silence_2,6
Ballantine_FRP_23102022_0910,Pre,With kin,Silence_2,24
Ballantine_FRP_23102022_0910,Vig,Mid neck,Silence_2,3
Ballantine_FRP_23102022_0910,Vig,Short Neck,Silence_2,8
Ballantine_FRP_23102022_0910,Eat,With kin,Silence_3,15
Ballantine_FRP_23102022_0910,Mov,Away from speaker,Silence_3,13
Ballantine_FRP_23102022_0910,Vig,Short Neck,Silence_3,41
Ballantine_PRF_17112022_0947,Pre,With kin,Dishabituation,201
Ballantine_PRF_17112022_0947,Vig,Short Neck,Dishabituation,9
Ballantine_PRF_17112022_0947,Hab,NA,Habituation,14
Ballantine_PRF_17112022_0947,Pre,With kin,Habituation,227
Ballantine_PRF_17112022_0947,Vig,Mid neck,Habituation,8
Ballantine_PRF_17112022_0947,Vig,Short Neck,Habituation,14
Ballantine_PRF_17112022_0947,Pre,With kin,Silence_1,59
Ballantine_PRF_17112022_0947,Vig,Short Neck,Silence_1,15
Barbados_FC_09102022_1000,Dhb,NA,Dishabituation,242
Barbados_FC_09102022_1000,Pre,With kin,Habituation,5
Barbados_FC_09102022_1000,Pre,With kin,Silence_1,13
Barbados_FC_09102022_1000,Rst,With kin,Silence_1,9
Barbados_FRP_10102022_1741,Dhb,NA,Dishabituation,244
Barbados_FRP_10102022_1741,Pre,Alone,Dishabituation,6
Barbados_FRP_10102022_1741,Rst,Alone,Dishabituation,136
Barbados_FRP_10102022_1741,Vig,Short Neck,Dishabituation,31
Barbados_FRP_10102022_1741,Hab,NA,Habituation,232
Barbados_FRP_10102022_1741,Pre,Alone,Habituation,4
Barbados_FRP_10102022_1741,Vig,Long neck,Habituation,29
Barbados_FRP_10102022_1741,Vig,Mid neck,Habituation,56
Barbados_FRP_10102022_1741,Rst,Alone,Silence_2,12
Barbados_FRP_10102022_1741,Pre,Alone,Silence_3,9
Barbados_FRP_10102022_1741,Vig,Short Neck,Silence_3,46
Batate_FC_12102022_1040,Dhb,NA,Dishabituation,242
Batate_FC_12102022_1040,Eat,With other,Dishabituation,43
Batate_FC_12102022_1040,Mov,Away from speaker,Dishabituation,47
Batate_FC_12102022_1040,Pre,Alone,Dishabituation,43
Batate_FC_12102022_1040,Pre,With other,Dishabituation,9
Batate_FC_12102022_1040,Vig,Mid neck,Dishabituation,120
Batate_FC_12102022_1040,Hab,NA,Habituation,244
Batate_FC_12102022_1040,Mov,Away from speaker,Habituation,46
Batate_FC_12102022_1040,Pre,With kin,Habituation,7
Batate_FC_12102022_1040,Rst,With kin,Habituation,9
Batate_FC_12102022_1040,Vig,Mid neck,Habituation,122
Batate_FC_12102022_1040,Eat,With other,Silence_2,21
Batate_FC_12102022_1040,Vig,Mid neck,Silence_2,3
Batate_FC_12102022_1040,Pre,Alone,Silence_3,35
Batate_FC_12102022_1040,Vig,Mid neck,Silence_3,16
Batate_FRF_26102022_1001,Pre,With kin,Dishabituation,41
Batate_FRF_26102022_1001,Rst,With kin,Dishabituation,152
Batate_FRF_26102022_1001,Vig,Mid neck,Dishabituation,35
Batate_FRF_26102022_1001,Hab,NA,Habituation,245
Batate_FRF_26102022_1001,Pre,With kin,Habituation,11
Batate_FRF_26102022_1001,Vig,Mid neck,Habituation,9
Batate_FRF_26102022_1001,Pre,With kin,Silence_1,24
Batate_FRF_26102022_1001,Vig,Mid neck,Silence_1,17
Batate_FRF_26102022_1001,Vig,Long neck,Silence_2,10
Batate_FRF_26102022_1001,Pre,With kin,Silence_3,65
Batate_FRF_26102022_1001,Vig,Mid neck,Silence_3,14
Batate_PRF_18102022_1045,Dhb,NA,Dishabituation,243
Batate_PRF_18102022_1045,Eat,Alone,Dishabituation,50
Batate_PRF_18102022_1045,Eat,With kin,Dishabituation,39
Batate_PRF_18102022_1045,Mov,Away from speaker,Dishabituation,61
Batate_PRF_18102022_1045,Mov,Towards speaker,Dishabituation,4
Batate_PRF_18102022_1045,Pre,With kin,Dishabituation,27
Batate_PRF_18102022_1045,Vig,Mid neck,Dishabituation,10
Batate_PRF_18102022_1045,Vig,Short Neck,Dishabituation,37
Batate_PRF_18102022_1045,Hab,NA,Habituation,244
Batate_PRF_18102022_1045,Vig,Long neck,Silence_1,4
Batate_PRF_18102022_1045,Vig,Mid neck,Silence_1,14
Batate_PRF_18102022_1045,Vig,Short Neck,Silence_1,14
Batate_PRF_18102022_1045,Mov,Away from speaker,Silence_3,37
Batate_PRF_18102022_1045,Mov,Towards speaker,Silence_3,8
Batate_PRF_18102022_1045,Vig,Mid neck,Silence_3,17
Batate_PRF_18102022_1045,Vig,Short Neck,Silence_3,4
Bayou_FC_09112022_1042,Pre,With kin,Habituation,1
Bayou_FC_09112022_1042,Rst,With kin,Habituation,216
Bayou_FC_09112022_1042,Vig,Short Neck,Habituation,9
Bayou_FC_09112022_1042,Pre,With kin,Silence_1,4
Bayou_FC_09112022_1042,Vig,Mid neck,Silence_1,30
Bayou_FC_09112022_1042,Vig,Mid neck,Silence_2,4
Bayou_FC_09112022_1042,Rst,With kin,Silence_3,8
Bayou_FC_09112022_1042,Vig,Long neck,Silence_3,7
Bayou_FC_09112022_1042,Vig,Mid neck,Silence_3,13
Bayou_FC_09112022_1042,Vig,Short Neck,Silence_3,6
Bayou_FRF_19112022_1507,Pre,With kin,Dishabituation,94
Bayou_FRF_19112022_1507,Vig,Short Neck,Dishabituation,50
Bayou_FRF_19112022_1507,Mov,Away from speaker,Habituation,44
Bayou_FRF_19112022_1507,Pre,With kin,Habituation,57
Bayou_FRF_19112022_1507,Vig,Mid neck,Habituation,88
Bayou_FRF_19112022_1507,Vig,Short Neck,Habituation,9
Bayou_FRF_19112022_1507,Pre,With kin,Silence_1,58
Bayou_FRF_19112022_1507,Vig,Mid neck,Silence_1,22
Bayou_FRF_19112022_1507,Pre,With kin,Silence_2,6
Bayou_FRF_19112022_1507,Vig,Mid neck,Silence_2,23
Bayou_FRF_19112022_1507,Pre,With kin,Silence_3,7
Bayou_FRF_19112022_1507,Rst,With kin,Silence_3,31
Bayou_FRF_19112022_1507,Vig,Short Neck,Silence_3,25
Bayou_FRP_17112022_1000,Dhb,NA,Dishabituation,246
Bayou_FRP_17112022_1000,Eat,With kin,Dishabituation,53
Bayou_FRP_17112022_1000,Mov,Away from speaker,Dishabituation,40
Bayou_FRP_17112022_1000,Pre,With kin,Dishabituation,13
Bayou_FRP_17112022_1000,Vig,Mid neck,Dishabituation,118
Bayou_FRP_17112022_1000,Hab,NA,Habituation,251
Bayou_FRP_17112022_1000,Pre,With kin,Habituation,5
Bayou_FRP_17112022_1000,Rst,With kin,Habituation,40
Bayou_FRP_17112022_1000,Vig,Long neck,Habituation,11
Bayou_FRP_17112022_1000,Vig,Short Neck,Habituation,4
Bayou_FRP_17112022_1000,Vig,Mid neck,Silence_1,7
Bayou_FRP_17112022_1000,Eat,With kin,Silence_3,23
Bayou_FRP_17112022_1000,Vig,Mid neck,Silence_3,40
Bernard_FC_09102022_0944,Dhb,NA,Dishabituation,244
Bernard_FC_09102022_0944,Hab,NA,Habituation,243
Bernard_FC_09102022_0944,Mov,Away from speaker,Silence_2,20
Bernard_FC_09102022_0944,Pre,With kin,Silence_2,9
Bernard_FC_09102022_0944,Vig,Short Neck,Silence_2,20
Bernard_FC_11112022_0943,Dhb,NA,Dishabituation,246
Bernard_FC_11112022_0943,Hab,NA,Habituation,267
Bernard_FC_11112022_0943,Rst,With kin,Habituation,147
Bernard_FC_11112022_0943,Vig,Mid neck,Habituation,10
Bernard_FC_11112022_0943,Vig,Short Neck,Habituation,8
Bernard_FRF_17112022_0922,Dhb,NA,Dishabituation,247
Bernard_FRF_17112022_0922,Hab,NA,Habituation,247
Bernard_FRF_17112022_0922,Mov,Away from speaker,Habituation,67
Bernard_FRF_17112022_0922,Pre,With kin,Habituation,6
Bernard_FRF_17112022_0922,Vig,Short Neck,Habituation,71
Bernard_FRF_17112022_0922,Pre,With kin,Silence_1,21
Bernard_FRF_17112022_0922,Rst,With kin,Silence_1,25
Bernard_FRF_17112022_0922,Vig,Mid neck,Silence_1,35
Bernard_FRF_27102022_0927,Eat,Alone,Dishabituation,33
Bernard_FRF_27102022_0927,Mov,Away from speaker,Dishabituation,118
Bernard_FRF_27102022_0927,Vig,Long neck,Dishabituation,22
Bernard_FRF_27102022_0927,Vig,Mid neck,Dishabituation,157
Bernard_FRF_27102022_0927,Vig,Short Neck,Dishabituation,9
Bernard_FRF_27102022_0927,Eat,With kin,Habituation,86
Bernard_FRF_27102022_0927,Pre,With kin,Habituation,17
Bernard_FRF_27102022_0927,Vig,Mid neck,Habituation,29
Bernard_FRF_27102022_0927,Vig,Short Neck,Habituation,47
Bernard_FRF_27102022_0927,Eat,With kin,Silence_1,72
Bernard_FRF_27102022_0927,Mov,Away from speaker,Silence_1,20
Bernard_FRF_27102022_0927,Vig,Mid neck,Silence_1,35
Bernard_FRF_27102022_0927,Eat,With kin,Silence_2,34
Bernard_FRF_27102022_0927,Vig,Mid neck,Silence_2,6
Bernard_FRF_27102022_0927,Mov,Away from speaker,Silence_3,2
Bernard_FRF_27102022_0927,Pre,Alone,Silence_3,35
Bernard_FRF_27102022_0927,Vig,Short Neck,Silence_3,11
Bernard_FRP_13112022_0905,Dhb,NA,Dishabituation,247
Bernard_FRP_13112022_0905,Eat,Alone,Dishabituation,23
Bernard_FRP_13112022_0905,Eat,With other,Dishabituation,73
Bernard_FRP_13112022_0905,Mov,Away from speaker,Dishabituation,105
Bernard_FRP_13112022_0905,Mov,Towards speaker,Dishabituation,7
Bernard_FRP_13112022_0905,Vig,Long neck,Dishabituation,90
Bernard_FRP_13112022_0905,Vig,Mid neck,Dishabituation,7
Bernard_FRP_13112022_0905,Eat,Alone,Habituation,21
Bernard_FRP_13112022_0905,Eat,With other,Habituation,80
Bernard_FRP_13112022_0905,Hab,NA,Habituation,245
Bernard_FRP_13112022_0905,Mov,Away from speaker,Habituation,18
Bernard_FRP_13112022_0905,Vig,Long neck,Habituation,31
Bernard_FRP_13112022_0905,Eat,With other,Silence_1,44
Bernard_FRP_13112022_0905,Vig,Long neck,Silence_1,24
Bernard_FRP_13112022_0905,Eat,With other,Silence_2,16
Bernard_FRP_13112022_0905,Mov,Away from speaker,Silence_2,7
Bernard_FRP_13112022_0905,Eat,With kin,Silence_3,8
Bernard_FRP_13112022_0905,Mov,Away from speaker,Silence_3,12
Bernard_FRP_13112022_0905,Mov,Towards speaker,Silence_3,17
Bernard_FRP_13112022_0905,Vig,Long neck,Silence_3,4
Bernard_FRP_13112022_0905,Vig,Mid neck,Silence_3,47
Bernard_PRF_23102022_0950,Dhb,NA,Dishabituation,249
Bernard_PRF_23102022_0950,Eat,Alone,Dishabituation,12
Bernard_PRF_23102022_0950,Mov,Away from speaker,Dishabituation,56
Bernard_PRF_23102022_0950,Pre,Alone,Dishabituation,10
Bernard_PRF_23102022_0950,Vig,Long neck,Dishabituation,171
Bernard_PRF_23102022_0950,Vig,Mid neck,Dishabituation,50
Bernard_PRF_23102022_0950,Mov,Away from speaker,Habituation,43
Bernard_PRF_23102022_0950,Pre,Alone,Habituation,3
Bernard_PRF_23102022_0950,Vig,Long neck,Habituation,16
Bernard_PRF_23102022_0950,Vig,Mid neck,Habituation,94
Bernard_PRF_23102022_0950,Vig,Short Neck,Habituation,82
Bernard_PRF_23102022_0950,Mov,Away from speaker,Silence_1,20
Bernard_PRF_23102022_0950,Pre,Alone,Silence_1,33
Bernard_PRF_23102022_0950,Vig,Short Neck,Silence_1,35
Bernard_PRF_23102022_0950,Mov,Away from speaker,Silence_2,13
Bernard_PRF_23102022_0950,Eat,Alone,Silence_3,22
Bernard_PRF_23102022_0950,Vig,Long neck,Silence_3,9
Bernard_PRF_23102022_0950,Vig,Mid neck,Silence_3,1
Besenstiel_FC_18102022_0932,Vig,Short Neck,Dishabituation,6
Besenstiel_FC_18102022_0932,Vig,Mid neck,Habituation,31
Besenstiel_FC_18102022_0932,Vig,Short Neck,Habituation,6
Besenstiel_FC_18102022_0932,Pre,With kin,Silence_1,47
Besenstiel_FC_18102022_0932,Vig,Mid neck,Silence_1,4
Besenstiel_FC_18102022_0932,Vig,Short Neck,Silence_1,10
Besenstiel_FC_18102022_0932,Vig,Long neck,Silence_3,27
Besenstiel_FC_18102022_0932,Vig,Mid neck,Silence_3,3
Besenstiel_FRF_26102022_1018,Dhb,NA,Dishabituation,270
Besenstiel_FRF_26102022_1018,Mov,Away from speaker,Dishabituation,7
Besenstiel_FRF_26102022_1018,Vig,Long neck,Dishabituation,186
Besenstiel_FRF_26102022_1018,Vig,Mid neck,Dishabituation,4
Besenstiel_FRF_26102022_1018,Eat,With kin,Habituation,51
Besenstiel_FRF_26102022_1018,Hab,NA,Habituation,243
Besenstiel_FRF_26102022_1018,Mov,Away from speaker,Habituation,64
Besenstiel_FRF_26102022_1018,Vig,Mid neck,Habituation,86
Besenstiel_FRF_26102022_1018,Mov,Away from speaker,Silence_1,57
Besenstiel_FRF_26102022_1018,Mov,Towards speaker,Silence_1,15
Besenstiel_FRF_26102022_1018,Pre,With kin,Silence_1,7
Besenstiel_FRF_26102022_1018,Vig,Mid neck,Silence_1,27
Besenstiel_FRF_26102022_1018,Vig,Short Neck,Silence_1,54
Besenstiel_FRF_26102022_1018,Eat,With kin,Silence_2,42
Besenstiel_FRF_26102022_1018,Vig,Mid neck,Silence_2,9
Besenstiel_FRF_26102022_1018,Eat,With kin,Silence_3,20
Besenstiel_FRF_26102022_1018,Vig,Mid neck,Silence_3,31
Bruce Springsteen_FC_13112022_0918,Dhb,NA,Dishabituation,246
Bruce Springsteen_FC_13112022_0918,Mov,Away from speaker,Dishabituation,60
Bruce Springsteen_FC_13112022_0918,Pre,Alone,Dishabituation,71
Bruce Springsteen_FC_13112022_0918,Pre,With kin,Dishabituation,54
Bruce Springsteen_FC_13112022_0918,Vig,Long neck,Dishabituation,16
Bruce Springsteen_FC_13112022_0918,Vig,Mid neck,Dishabituation,25
Bruce Springsteen_FC_13112022_0918,Vig,Short Neck,Dishabituation,32
Bruce Springsteen_FC_13112022_0918,Mov,Away from speaker,Habituation,217
Bruce Springsteen_FC_13112022_0918,Mov,Away from speaker,Silence_1,32
Bruce Springsteen_FC_13112022_0918,Mov,Towards speaker,Silence_1,4
Bruce Springsteen_FC_13112022_0918,Pre,With kin,Silence_1,13
Bruce Springsteen_FC_13112022_0918,Vig,Mid neck,Silence_1,78
Bruce Springsteen_FC_13112022_0918,Pre,With kin,Silence_2,8
Bruce Springsteen_FC_13112022_0918,Vig,Mid neck,Silence_2,9
Bruce Springsteen_FRF_21112022_0913,Dhb,NA,Dishabituation,250
Bruce Springsteen_FRF_21112022_0913,Pre,With kin,Dishabituation,26
Bruce Springsteen_FRF_21112022_0913,Rst,With kin,Dishabituation,89
Bruce Springsteen_FRF_21112022_0913,Vig,Long neck,Dishabituation,7
Bruce Springsteen_FRF_21112022_0913,Vig,Mid neck,Dishabituation,27
Bruce Springsteen_FRF_21112022_0913,Vig,Short Neck,Dishabituation,19
Bruce Springsteen_FRF_21112022_0913,Hab,NA,Habituation,244
Bruce Springsteen_FRF_21112022_0913,Pre,With kin,Habituation,18
Bruce Springsteen_FRF_21112022_0913,Rst,With kin,Habituation,2
Bruce Springsteen_FRF_21112022_0913,Vig,Mid neck,Habituation,16
Bruce Springsteen_FRF_21112022_0913,Vig,Short Neck,Habituation,21
Bruce Springsteen_FRF_21112022_0913,Rst,With kin,Silence_1,85
Bruce Springsteen_FRF_21112022_0913,Vig,Long neck,Silence_1,13
Bruce Springsteen_FRF_21112022_0913,Vig,Long neck,Silence_3,39
Bruce Springsteen_PRF_09112022_0915,Dhb,NA,Dishabituation,244
Bruce Springsteen_PRF_09112022_0915,Pre,With kin,Dishabituation,6
Bruce Springsteen_PRF_09112022_0915,Vig,Mid neck,Dishabituation,6
Bruce Springsteen_PRF_09112022_0915,Hab,NA,Habituation,251
Bruce Springsteen_PRF_09112022_0915,Pre,With kin,Habituation,6
Bruce Springsteen_PRF_09112022_0915,Vig,Short Neck,Habituation,18
Bruce Springsteen_PRF_09112022_0915,Mov,Away from speaker,Silence_1,26
Bruce Springsteen_PRF_09112022_0915,Vig,Short Neck,Silence_1,20
Bruce Springsteen_PRF_09112022_0915,Hab,NA,Silence_3,55
Diamante_FC_14112022_1008,Dhb,NA,Dishabituation,246
Diamante_FC_14112022_1008,Mov,Away from speaker,Dishabituation,19
Diamante_FC_14112022_1008,Rst,Alone,Dishabituation,97
Diamante_FC_14112022_1008,Vig,Long neck,Dishabituation,6
Diamante_FC_14112022_1008,Vig,Mid neck,Dishabituation,34
Diamante_FC_14112022_1008,Vig,Short Neck,Dishabituation,3
Diamante_FC_14112022_1008,Ass,Kin,Habituation,22
Diamante_FC_14112022_1008,Hab,NA,Habituation,255
Diamante_FC_14112022_1008,Mov,Away from speaker,Habituation,38
Diamante_FC_14112022_1008,Rst,Alone,Habituation,13
Diamante_FC_14112022_1008,Rst,With kin,Habituation,59
Diamante_FC_14112022_1008,Vig,Mid neck,Habituation,12
Diamante_FC_14112022_1008,Vig,Short Neck,Habituation,30
Diamante_FC_14112022_1008,Rst,Alone,Silence_1,44
Diamante_FC_14112022_1008,Ass,Kin,Silence_3,47
Diamante_FC_14112022_1008,Rst,With kin,Silence_3,32
Diamante_FC_14112022_1008,Vig,Short Neck,Silence_3,25
